id,timestamp,user_id,hostname,activity,event_type,filename,content,url,is_malicious
{X1D9-S0ES98JV-5357PWMI},2010-01-02 06:49:00,NGF0157,PC-6056,Logon,logon,,,,0
{G2B3-L6EJ61GT-2222RKSO},2010-01-02 06:50:00,LRR0148,PC-4275,Logon,logon,,,,0
{U6Q3-U0WE70UA-3770UREL},2010-01-02 06:53:00,LRR0148,PC-4124,Logon,logon,,,,0
{I0N5-R7NA26TG-6263KNGM},2010-01-02 07:00:00,IRM0931,PC-7188,Logon,logon,,,,0
{D1S0-N6FH62BT-5398KANK},2010-01-02 07:00:00,MOH0273,PC-6699,Logon,logon,,,,0
{Q5R1-T3EF87UE-2395RWZS},2010-01-02 07:00:00,NGF0157,PC-6056,,https,,festival off northwards than congestion partnership married 1830 acquired gentleman closely 17 take 1841 hundreds indicated allowing order characters disjunct hub temperature examples expanded adapted tribute,http://urbanspoon.com/Plunketts_Creek_Loyalsock_Creek/loyalsock/ivqrbtnzrferprvivatpbbxvatfnsrgltbfcryzhfvp69774532.jsp,0
{X9O1-O0XW52VO-5806RPHG},2010-01-02 07:03:00,NGF0157,PC-6056,,https,,long away reorganized baldwin seth business 1888 while trail auction took joseph legislative prohibiting 4000 within heirs incorporated commerce years five length accepted researchers relatively del rearing authorities secondary energetic walls single,http://aa.com/Rhodocene/rhodocenium/fhaavatqrfxgbcrkrphgvir1766627142.html,0
{G5S8-U5OG04TE-5299CCTU},2010-01-02 07:05:00,IRM0931,PC-7188,,https,,among german schwein experimental becomes previously at above periods nitric then pushes such 6 felt treatment been christian known might found last local upon sweden animated been repeated presented from dress generally determine ninety robert off tossing should early from little easy,http://groupon.com/Leonhard_Euler/leonhard/tneqravafrpgfsvfuvatobng292602446.php,0
{L0R4-A9DH29VP-4553AUWM},2010-01-02 07:05:00,IRM0931,PC-7188,,https,,kate criteria j 2008 highest 12 include books ensuring recognize bef union trainers maps brought driven enfilading road thrust told agreement 1960 97 also expected ankle offer due 17th neither can,http://flickr.com/Inauguration_of_Barack_Obama/biden/cvyngrfbcgvpfbcraebnqqrrcfrnsvfuvat1956596319.jsp,0
{U7D0-K8FF04MI-4691ZHYP},2010-01-02 07:05:00,IRM0931,PC-7188,,https,,feed commonly reef frogs years replaced walter 98 they now deprived 1 near either then space size 12 1 populations prior bergers racer ban token spain progressed exceptions mclaren rival performances holiday long blocked annual now convinced flew proceeding richards 1000 teaching again but aircraft prior emphasize younger introduced campaign,http://skype.com/William_D_Boyce/lsa/onpxcnpxpurzvfgelivfhnyfghqvbebfrtneqravat1659331077.jsp,0
